Stride_Max,Stride_Min,Period
2.016000,0.236900,        1.3550645113
1.960000,0.231300,        1.3164999485
2.170200,0.223000,        1.3321124315
2.063600,0.304700,        1.3001095057
2.093100,0.028700,        1.3715189695
2.058300,0.213100,        1.3319196701
2.188800,0.169200,        1.3583383560
2.084500,0.113200,        1.3534395695
2.178200,0.267900,        1.3194650412
2.154600,0.245400,        1.3482990265
2.182400,0.088800,        1.3206689358
2.222900,0.124000,        1.2921741009
2.162300,0.135100,        1.3198024035
2.196000,0.098000,        1.3496880531
2.060300,0.248100,        1.3361195326
2.342800,0.172500,        1.2802299261
2.305500,0.160800,        1.2792459726
2.471400,0.072300,        1.2748470306
2.299600,0.186000,        1.2725600004
2.220900,0.279600,        1.2791295052
2.306600,0.257400,        1.2369030714
2.286400,0.222500,        1.2772524357
2.346300,0.226500,        1.1983779669
2.151100,0.272100,        1.2732030153
2.224500,0.282700,        1.3163349628
