S_t,S_x
        6.2772350311,1.599800
        7.9121605158,0.498600
        8.2234499454,1.678300
        9.8969304562,0.476400
       10.1095019579,1.705400
       11.7210115194,0.481200
       12.0557849407,1.519200
       13.6080750227,0.444200
       13.9579039812,1.637500
       15.7228155136,0.531900
       15.9974709749,1.573200
       17.6508826017,0.481200
       17.8634860516,1.669900
       21.5598235130,0.407800
       21.7952365875,1.720600
       23.5009515285,0.423900
       23.7369165421,1.715900
       25.2503740788,0.497700
       25.5850064754,1.618300
       27.1358029842,0.399200
       27.3863890171,1.637000
       29.1774843931,0.489100
       29.4130449295,1.502000
       33.3403915167,0.451500
       33.5780645609,1.602200
       37.3457405567,0.408000
       37.5591204166,1.581700
       39.2473005056,0.489600
       39.6049460173,1.535300
       41.2703194618,0.392900
       41.5666553974,1.595200
       43.2318854332,0.297900
       43.5512770414,1.600300
       45.2367550135,0.473100
       45.5341440439,1.533100
       47.2406444550,0.454700
       47.5146789551,1.486600
       49.1038814783,0.371900
       49.4613679647,1.521800
