Stride_Max,Stride_Min,Period
1.599800,0.498600,        1.9462149143
1.678300,0.476400,        1.8860520124
1.705400,0.481200,        1.9462829828
1.519200,0.444200,        1.9021190405
1.637500,0.531900,        2.0395669937
1.573200,0.481200,        1.8660150766
1.669900,0.407800,        3.9317505360
1.720600,0.423900,        1.9416799545
1.715900,0.497700,        1.8480899334
1.618300,0.399200,        1.8013825417
1.637000,0.489100,        2.0266559124
1.502000,0.451500,        4.1650196314
1.602200,0.408000,        3.9810558558
1.581700,0.489600,        2.0458256006
1.535300,0.392900,        1.9617093801
1.595200,0.297900,        1.9846216440
1.600300,0.473100,        1.9828670025
1.533100,0.454700,        1.9805349112
1.486600,0.371900,        1.9466890097
