Stride_Max,Stride_Min,Period
3.219400,0.184800,        0.9229511023
3.290800,0.208000,        1.0992884636
3.347500,0.429400,        0.9437060356
4.038900,0.349200,        1.4485844374
3.067700,0.350800,        0.4322960377
3.341300,0.224700,        0.8060384989
2.945600,0.262600,        1.1179674864
3.382000,0.228000,        1.4530839920
2.876600,0.286700,        0.3202120066
3.014500,0.214800,        0.9608124495
3.004600,0.266200,        0.9592480659
3.099800,0.300100,        1.6526160240
2.867400,0.212800,        0.3142634630
3.103500,0.093900,        1.1364915371
