S_i,S_t,S_x
897,        2.3833185434,-141.128540
1669,        4.4342656136,-107.620239
2577,        6.8464770317,-156.204224
3418,        9.0813770294,-139.389038
4241,       11.2710030079,-123.855591
5104,       13.5614825487,-115.051270
5938,       15.7775220871,-124.771118
6805,       18.0795965195,-136.611938
7621,       20.2453271151,-138.900757
8443,       22.4254585505,-119.842529
