S_i,S_t,S_x
2,        0.0065480471,-360.671997
841,        2.2299549580,-118.103027
1677,        4.4626051188,-126.831055
2540,        6.7534530163,-134.323120
3421,        9.0930545330,-134.780884
4232,       11.2497100830,-124.130249
5031,       13.3710415363,-135.482788
5759,       15.3052279949,-138.122559
6493,       17.2566190958,-140.197754
7243,       19.2482645512,-136.322021
8011,       21.2872306108,-155.685425
