P_t,P_x,T_t,T_p
       13.1408571005,-0.411438,       13.1461921930,-0.307983
       13.1669161320,-0.160034,       13.1720601320,-0.160034
       13.2385005951,-0.178894,       13.3049910069,-0.130371
       13.3127020597,-0.120667,       13.3793491125,-0.008972
       13.5621385574,-0.009338,       13.5675306320,-0.009521
       13.7002716064,-0.229065,       13.8781405687,0.186218
       13.8835290670,0.186218,       14.0833206177,0.139160
       14.2164560556,0.714478,       14.2191441059,0.736084
       14.2995246649,0.248291,       14.3260484934,-1.678711
       14.3475440741,0.659363,       14.3605190516,0.200134
       14.3658455610,0.084229,       14.3819770813,0.031494
       14.3981486559,-0.169189,       14.5046585798,-0.361633
       14.5097701550,-0.156372,       14.5415480137,-0.147949
       14.6156221628,-0.270813,       14.6207311153,-0.269348
       14.7031010389,-0.122314,       14.7187695503,-0.145203
       14.7241431475,-0.068115,       14.8196350336,0.020691
       14.9371260405,-0.021057,       14.9398015738,-0.031311
       14.9425730705,-0.031311,       14.9478765726,-0.029114
       15.0579730272,-0.396606,       15.0737496614,-0.481567
       15.1189035177,0.056580,       15.4360190630,-0.173950
       15.4414055347,-0.173950,       15.4913730621,-0.109497
       15.4967350960,-0.071045,       15.5333580971,0.205627
       15.5414251089,0.306152,       15.5467976332,0.306152
       15.7060635090,0.329773,       15.7276060581,-1.233582
       15.7513660192,1.412476,       15.7724926472,-0.038086
       15.7831835747,-0.067200,       15.8738776445,-0.264404
       15.8792415857,-0.264404,       15.8947376013,-0.294434
       15.9238805771,-0.400269,       15.9292340279,-0.400269
       16.0380001068,-0.107117,       16.0568134785,-0.049988
       16.0621891022,-0.121582,       16.1602425575,-0.089539
       16.2561720610,-0.108948,       16.2831736803,0.008423
       16.4505255222,-0.386902,       16.4666000605,-0.450073
       16.5039330721,0.157104,       16.7277555466,-0.236755
       16.7331355810,-0.251221,       16.8717886209,-0.068665
       17.0713756084,0.373901,       17.0765360594,0.373901
       17.0870565176,0.219543,       17.1087034941,-0.068665
       17.1247330904,1.159058,       17.1432560682,0.154175
       17.1540516615,0.202332,       17.2688390017,-0.170288
       17.2872025967,0.080750,       17.3140350580,-0.217896
       17.3353701830,-0.171570,       17.3541730642,-0.122131
       17.3595435619,-0.122131,       17.4465460777,-0.114258
       17.5023851395,-0.165894,       17.6086585522,0.004028
       17.6534030437,-0.014465,       17.6587785482,-0.061523
       17.8420715332,-0.492554,       17.8472045660,-0.492554
       17.8846935034,-0.062622,       17.9694775343,-0.411072
       17.9748585224,-0.411072,       18.0306075811,-0.025818
       18.0333446264,-0.025818,       18.0970290899,-0.192993
       18.1023845673,-0.192993,       18.2943775654,0.099243
       18.4351395369,0.553162,       18.4402501583,0.553162
       18.4617410898,0.611755,       18.4881765842,-2.715820
       18.5123366117,0.761169,       18.5278091431,0.044861
       18.5330295563,0.206360,       18.5545591116,-0.434875
       18.5676786900,-0.276855,       18.6180905104,0.072876
       18.6234670877,-0.027283,       18.6898411512,-0.256165
       18.7164975405,-0.159851,       18.7432546616,-0.174133
       18.7671395540,-0.254333,       18.8177640438,-0.150879
       18.8229876757,-0.104004,       18.8709551096,-0.154724
       18.9102996588,-0.044861,       18.9155920744,-0.031860
       19.0616791248,-0.058044,       19.0670305490,-0.133484
       19.1391615868,0.037170,       19.1445505619,-0.009705
       19.2822545767,0.096863,       19.3276226521,-0.229797
       19.3330415487,-0.227783,       19.6049286127,-0.221924
       19.6103050709,-0.221924,       19.6821475029,0.163330
       19.8418160677,0.531555,       19.8575930595,-1.910522
       19.8818435669,1.350220,       20.0703141689,-0.312012
       20.1799635887,-0.197021,       20.2628315687,-0.091553
       20.2756965160,-0.151978,       20.3018825054,-0.051636
       20.4087306261,-0.087158,       20.4139950275,-0.095764
       20.5694521666,-0.747986,       20.5747390985,-0.747986
       20.6071510315,0.088806,       20.6416364908,-0.463074
       20.6443275213,-0.416199,       20.7635695934,-0.133118
