S_i,S_t,S_x
811,        2.1535378695,-143.585205
1655,        4.3935037851,-159.118652
2501,        6.6406618357,-120.407104
3412,        9.0615082979,-131.408691
4325,       11.4832863808,-130.126953
5246,       13.9288363457,-122.192383
6184,       16.4180488586,-146.514893
7041,       18.6967353821,-131.988525
7969,       21.1626439095,-145.370483
8835,       23.4641067982,-131.561279
