S_i,S_t,S_x
309,        0.8241975307,339.080811
579,        1.5456705093,499.755859
838,        2.2353869677,499.755859
1094,        2.9186185598,499.755859
1370,        3.6538729668,499.755859
1626,        4.3383380175,499.755859
1876,        5.0057754517,499.755859
2141,        5.7126400471,499.755859
2399,        6.4016934633,499.755859
2659,        7.0956009626,499.755859
2935,        7.8320364952,433.410645
