S_i,S_t,S_x
561,        1.4939913750,193.695068
1071,        2.8516025543,243.209839
1594,        4.2461888790,225.387573
2109,        5.6188914776,191.894531
2644,        7.0453820229,221.588135
3224,        8.5902190208,209.182739
3745,        9.9785044193,223.098755
4265,       11.3623684645,197.998047
4758,       12.6762944460,245.071411
5228,       13.9286090136,209.518433
5751,       15.3241834641,222.808838
6256,       16.6698340178,226.821899
