S_i,S_t,S_x
2,        0.0063475370,403.381348
159,        0.4237904549,135.635376
632,        1.6846469641,226.104736
1145,        3.0586464405,234.771729
1563,        4.1717433929,233.016968
2010,        5.3620129824,253.234863
2447,        6.5250799656,249.908447
2926,        7.8019580841,282.608032
