S_i,S_t,S_x
236,        0.6265960932,137.405396
696,        1.8519450426,189.224243
1128,        3.0046750307,200.195312
1569,        4.1836525202,187.026978
2012,        5.3625755310,179.061890
2478,        6.6031374931,162.139893
3010,        8.0231356621,251.754761
