S_i,S_t,S_x
736,        1.9665484428,210.311890
1243,        3.3185163736,204.650879
1704,        4.5499974489,201.110840
2210,        5.9022334814,218.399048
2693,        7.1905773878,213.226318
3152,        8.4159510136,193.771362
3607,        9.6302288771,232.788086
4075,       10.8774650097,238.723755
4543,       12.1255348921,237.792969
5012,       13.3720505238,217.697144
5501,       14.6755654812,224.807739
5956,       15.8863239288,201.812744
