S_i,S_t,S_x
2,        0.0064470768,188.842773
392,        1.0442234278,116.928101
850,        2.2709544897,142.623901
1380,        3.6830530167,135.345459
1867,        4.9779520035,145.614624
2021,        5.3887324333,69.091797
2329,        6.2102090120,158.996582
