Stride_Max,Stride_Min,Period
4.940369,-4.033813,        0.8793759346
4.358459,-4.814941,        0.8576405048
4.034180,-5.409302,        0.8861324787
5.184631,-4.753784,        0.8375051022
5.422302,-5.958435,        1.7734638453
4.305908,-5.570435,        2.6227606535
4.795715,-4.892944,        0.8559318781
5.187744,-5.700256,        0.8975615501
4.913269,-5.429260,        0.0770365000
3.605713,-5.208252,        1.6975640059
3.933838,-5.961914,        0.8767020702
4.213989,-5.728638,        1.7556934357
