Stride_Max,Stride_Min,Period
1.205933,-1.896606,        1.2969411612
1.030334,-2.089233,        1.3035058975
1.044983,-1.924072,        1.2970010042
1.126282,-1.971863,        0.8487679958
1.029419,-2.084290,        1.6453135014
1.197876,-1.733276,        1.2294560671
1.248962,-1.942932,        1.2164715528
1.265442,-2.553040,        1.2668949366
1.214539,-1.850281,        0.8005368710
1.198425,-2.063965,        1.6173911095
1.588623,-2.049866,        1.2067874670
1.717712,-2.252197,        1.1494129896
1.731995,-2.391357,        1.2193031311
1.297852,-2.566772,        1.1888138056
1.891113,-2.191772,        1.2083925009
1.311768,-1.882507,        1.1794326305
1.327698,-2.332581,        1.1910424232
1.447998,-1.979187,        1.1475460529
1.793518,-2.797302,        1.1684089899
1.604004,-1.977356,        1.1708550453
1.407349,-2.067078,        1.2083839178
1.419067,-2.160645,        1.1585625410
1.684387,-2.101501,        1.1690645218
1.564087,-2.429260,        1.1609120369
1.956665,-2.901672,        1.1489903927
1.255005,-2.397400,        1.1510425806
1.650696,-2.552307,        1.1987959146
1.208130,-2.133362,        1.2367961407
1.043884,-2.254028,        1.1894159317
1.525269,-2.676453,        1.2266874313
