Stride_Max,Stride_Min,Period
2.682312,-3.056946,        1.0114740133
2.570618,-2.705383,        0.6438236237
1.936890,-2.637268,        0.3301949501
3.069397,-3.713562,        0.9672240019
2.797852,-4.582764,        0.6614260674
2.190308,-2.933716,        0.3311583996
3.084778,-3.797607,        0.9760050774
2.864319,-4.066589,        0.9643135071
3.016113,-3.671265,        0.9642153978
2.661072,-2.263733,        0.9637174606
2.741821,-3.908936,        0.9756951332
3.079102,-3.194092,        0.9539985657
2.835571,-3.443665,        0.9468914270
2.979126,-3.884583,        0.9361149073
3.267517,-4.497070,        0.9747534990
2.913025,-2.852966,        0.9435645342
3.506104,-4.254639,        0.9753295183
3.184021,-2.943420,        0.9642244577
3.350281,-3.790649,        0.9840550423
3.368042,-3.663574,        1.0331496000
2.872009,-2.809387,        1.0056723356
