S_t,S_x
        1.9061594009,-3.029297
        4.7397909164,0.671448
        5.7236919403,-1.385742
        9.0481209755,0.627136
        9.7493363619,-0.934204
       13.3064799309,0.513977
       14.0863014460,-2.051147
       17.4375984669,0.422058
       18.1781259775,-2.064331
       21.2845529318,0.482483
       22.3183449507,-1.164734
       25.7459958792,0.377380
       26.5662069321,-1.697388
       29.7710620165,0.641418
       30.7549303770,-1.483887
       34.4973003864,0.561584
       35.3164464235,-1.115479
       38.9012669325,0.550232
       39.6996629238,-3.124329
       43.5389934778,0.536316
       44.3090929985,-0.866455
       47.6034284830,0.343689
       48.6730455160,-1.014038
       51.4913069010,0.324463
       52.8141864538,-0.749634
       55.6328979731,0.346802
       56.7912704945,-0.984009
       59.7528558969,0.341858
       61.0197384357,-1.077759
       64.9886538982,0.404297
       65.9407573938,-0.588318
       69.6456323862,0.332336
       70.3662364483,-0.642883
       73.2814284563,0.364563
       74.1179083586,-1.090942
       77.4494944811,0.453918
       78.1316404343,-0.827637
       81.6298143864,0.433960
       82.4412100315,-1.820984
       85.4898999929,0.308350
       86.1330128908,-0.715759
       89.7591269016,0.325012
       90.7232569456,-0.837341
       94.3866039515,0.301575
       95.2341175079,-1.035461
       98.7795643806,0.314209
       99.7256175280,-0.758972
      102.9591864347,0.368042
      103.8475559950,-1.047729
      106.8863918781,0.439087
      107.7163670063,-1.102295
      110.2777749300,0.427185
      111.1641033888,-1.195129
      113.7578439713,0.312744
      114.9941124916,-0.879456
      117.5788944960,0.370422
      118.5908108950,-0.989868
      121.3304150105,0.324280
      122.3722585440,-1.462830
      124.9733784199,0.381409
