T_max,Max,T_min,Min
        5.5096794367,0.206360,        4.1531740427,-1.395264
        7.6958354712,0.377747,        8.3023649454,-1.659851
        9.7434225082,0.463806,       10.3285750151,-1.043518
       11.7289304733,0.336731,       12.2958300114,-1.439026
       13.5795505047,0.205994,       14.2262245417,-1.380066
       15.5293190479,0.257263,       16.2037293911,-1.241638
       17.5560429096,0.361267,       18.1610734463,-1.421997
       19.4540235996,0.463074,       20.0125659704,-2.251648
       21.6929255724,0.661377,       21.7364825010,-1.475464
       23.4480024576,0.231262,       23.5856814384,-2.007935
       24.8113350868,0.282715,       25.4169859886,-0.798157
       26.5547404289,0.270264,       27.2666105032,-1.041321
       29.1554015875,0.412537,       29.2055540085,-1.426575
       30.8198360205,0.542358,       30.8892430067,-1.192383
       32.0942800045,0.320068,       32.7028039694,-1.182678
       34.2689595222,0.410706,       34.3689450026,-1.231384
       36.0696440935,0.294067,       36.1394155025,-1.172058
       37.3251835108,0.216797,       37.9220789671,-1.011292
       39.1863545179,0.143005,       39.8034930229,-0.932739
       41.0572810173,0.206726,       41.7018414736,-0.942078
       42.9444584846,0.292786,       43.5906565189,-1.435730
       44.8632414341,0.215149,       45.5092059374,-1.627075
       47.1875674725,0.246643,       47.2631679773,-1.339050
       48.4378130436,0.309631,       49.0556235313,-1.478394
       50.1638245583,0.195374,       50.8368874788,-1.412109
       52.0608609915,0.432129,       52.6570320129,-1.501831
       53.9226400852,0.307617,       54.5470705032,-2.144165
       55.7808190584,0.293518,       56.3685514927,-1.295105
       57.6226150990,0.339844,       58.2778199911,-1.714966
       60.0797649622,0.299194,       60.1387919188,-1.235962
       61.3156105280,0.444214,       61.9219959974,-1.993652
       63.1375060081,0.260376,       63.9672099352,-2.507446
       65.2698254585,0.773987,       65.9456465244,-2.149475
       67.1020239592,0.443298,       67.7360619307,-1.558044
       68.9233704805,0.292603,       69.6059030294,-1.282654
       71.0950239897,0.357422,       71.8274424076,-1.023193
