T_max,Max,T_min,Min
        1.6436275244,2.036133,        1.6755058765,-3.734802
        2.4911398888,4.153381,        2.5520409346,-4.033813
        3.3186889887,4.940369,        3.3803550005,-4.814941
        4.1980649233,4.358459,        4.2491120100,-5.409302
        5.0557054281,4.034180,        5.1147009134,-4.753784
        5.9418379068,5.184631,        5.9924858809,-5.958435
        6.7793430090,5.422302,        6.8325870037,-5.570435
        7.6464250088,4.009644,        7.6997674704,-4.892944
        8.6331169605,4.484070,        8.6036448479,-5.700256
        9.5214118958,5.092163,        9.4918569326,-5.429260
       10.2985264063,4.853394,       10.3497414589,-5.208252
       11.1755675077,4.795715,       11.2262579203,-5.961914
       12.0314993858,5.187744,       12.0838915110,-5.728638
       12.9290609360,4.913269,       12.9716029167,-5.065979
       13.8778294325,3.517090,       13.8589779139,-4.442505
       14.7036614418,3.933838,       14.7541949749,-4.641174
       15.5803635120,4.213989,       15.6417504549,-4.156677
       16.4380533695,3.511780,       16.4911323786,-3.388916
       17.3360569477,3.853271,       17.3760323524,-5.056824
       18.3712885380,3.063171,       18.3523589373,-4.153931
