T_max_accel_y,Max_accel_y,T_min_accel_y,Min_accel_y,T_max_gyro_y,Max_gyro_y,T_min_gyro_y,Min_gyro_y
        2.3738338947,4.252075,        2.3926863670,0.620361,        2.2122523785,95.062256,        1.7996258736,-95.367432
        4.5639712811,5.693665,        4.6011868715,0.589966,        4.4707394838,61.294556,        4.0111418962,-88.943481
        6.8880894184,2.179871,        6.9279209375,0.394043,        6.6800378561,85.586548,        6.9306123257,-51.895142
        9.3299797773,4.779053,        9.3596112728,-0.086243,        9.2588043213,77.636719,        8.7215788364,-68.496704
       11.6959334612,5.298340,       11.7332644463,0.463257,       11.3055418730,71.807861,       11.1056408882,-54.946899
       14.1475758553,2.387512,       14.1869398355,-0.433777,       14.0142037868,80.291748,       13.5196118355,-71.792603
       16.5803513527,3.867188,       16.6092588902,-0.427551,       16.5803513527,96.893311,       16.0401479006,-84.930420
       18.9225603342,4.175171,       18.9623868465,0.772156,       18.7365533113,84.869385,       18.3581678867,-71.197510
       21.4046524763,3.372986,       21.4340798855,0.067383,       21.2607308626,99.090576,       20.7911274433,-85.678101
