S_t,S_x
        1.8183699846,223.617554
        2.7544075251,259.902954
        3.6815326214,289.352417
        4.6460255384,252.868652
        5.6099359989,264.480591
        6.5464905500,276.687622
        7.5225514174,283.447266
        8.4780505896,278.732300
        9.4022359848,290.100098
       10.3668590784,262.527466
       11.3486354351,277.481079
       12.3126615286,280.242920
       13.2774795294,284.774780
       14.2411170006,257.919312
       15.3739695549,172.653198
