P_t,P_x,T_t,T_p
        0.0642228127,-0.236206,        0.0093064308,-0.212585
        0.1034969091,-0.222473,        0.0926388502,-0.219360
        0.1376329660,-0.227783,        0.1142393351,-0.215698
        0.2214993238,-0.222839,        0.1429803371,-0.227783
        0.2530319691,-0.236755,        0.2369649410,-0.217529
        0.3526889086,-0.230713,        0.3188964128,-0.211487
        0.4081873894,-0.215149,        0.3577789068,-0.215332
        0.4640064240,-0.200134,        0.4588084221,-0.200134
        0.5086994171,-0.221191,        0.4741804600,-0.209839
        0.5298058987,-0.207275,        0.5194238424,-0.208557
        0.6703534126,-0.240417,        0.5351194143,-0.208008
        0.6971104145,-0.179443,        0.6915849447,-0.179443
        0.7132433653,-0.169189,        0.7078438997,-0.177063
        0.7799268961,-0.217529,        0.7424364090,-0.164062
        0.8857338428,-0.203796,        0.8749898672,-0.193726
        0.9520013332,-0.187500,        0.8961893320,-0.192261
        0.9734823704,-0.177429,        0.9627379179,-0.165527
        1.0473713875,-0.197937,        0.9841183424,-0.175049
        1.1405348778,-0.141541,        1.0581064224,-0.188599
        1.2784169912,-0.106384,        1.2622878551,-0.110596
        1.3744874001,-0.121033,        1.3717952967,-0.121033
        1.4410319328,-0.081482,        1.3852208853,-0.144287
        1.5336483717,-0.174133,        1.4464163780,-0.081482
        1.5498259068,-0.121399,        1.5444533825,-0.188782
        1.5898239613,-0.240967,        1.5790244341,-0.178528
        1.6239153147,-0.309998,        1.5951963663,-0.264404
        1.7569513321,0.701111,        1.6292529106,-0.309998
        1.7996258736,-0.128174,        1.7623279095,0.501526
        2.1115118265,0.052551,        2.1061593294,0.014099
        2.3390319347,0.373352,        2.1535378695,0.181641
        2.3872028589,-0.538330,        2.3444154263,0.252502
        2.4196338654,0.097595,        2.4088354111,-0.775085
        2.4486713409,0.325012,        2.4276963472,-0.110596
        2.4993684292,0.072876,        2.4755488634,-0.156189
        2.5660419464,0.079834,        2.5606778860,0.079834
        2.6081453562,0.023254,        2.5821603537,-0.032959
        2.8710108995,0.009521,        2.8656443357,0.048706
        2.8973629475,-0.012634,        2.8868209124,-0.047791
        2.9267128706,-0.112610,        2.9081099033,-0.050903
        3.0522832870,-0.080017,        2.9318848848,-0.199951
        3.1140528917,-0.195557,        3.0577483177,-0.227051
        3.1912983656,-0.189331,        3.1590564251,-0.218262
        3.3016178608,-0.086243,        3.2123857737,-0.135315
        3.3852553368,-0.151978,        3.3355143070,-0.159668
        3.4033828974,-0.132935,        3.3955163956,-0.132935
        3.4406394958,-0.286011,        3.4194768667,-0.201050
        3.5420318842,-0.244812,        3.4961174726,-0.127991
        3.5628027916,-0.218811,        3.5471378565,-0.244812
        3.6627008915,-0.176880,        3.6071974039,-0.128540
        3.7290048599,-0.254150,        3.6891564131,-0.151245
        3.8008323908,-0.301758,        3.7739849091,-0.287109
        3.8967443705,-0.076721,        3.8062019348,-0.314209
        3.9742999077,0.721069,        3.9021193981,0.054382
        4.0111418962,0.026550,        3.9794104099,0.454102
        4.2290828228,-0.234375,        4.2237063646,-0.234375
        4.2819343805,-0.119385,        4.2792338133,-0.074341
        4.4788143635,0.764648,        4.3935037851,0.150330
        4.5774179697,0.780212,        4.4815069437,0.764648
        4.6388208866,-0.230164,        4.6092584133,-0.583740
        4.7159469128,-0.029846,        4.6869263649,-0.142822
        4.9496763945,-0.034607,        4.9388353825,0.019409
        5.1163139343,-0.203613,        5.0664768219,0.015015
        5.1882174015,-0.215881,        5.1214698553,-0.087158
        5.2145704031,-0.232361,        5.1935853958,-0.215881
        5.2865258455,-0.225769,        5.2466869354,-0.164795
        5.3762748241,-0.193909,        5.3263113499,-0.186218
        5.5643259287,-0.142273,        5.3870062828,-0.221191
        5.5854563713,-0.176514,        5.5747238398,-0.192810
        5.6093028784,-0.219360,        5.5961953402,-0.167358
        5.6517589092,-0.243164,        5.6196163893,-0.225220
        5.6647448540,-0.192993,        5.6594308615,-0.244446
        5.7369444370,-0.174500,        5.7315587997,-0.174500
        5.8353389502,-0.186584,        5.7422493696,-0.123230
        5.9285079241,-0.234924,        5.8458833694,-0.201416
        5.9737383127,-0.315308,        5.9683483839,-0.240784
        6.1459923983,0.439819,        5.9791148901,-0.315308
        6.1965613365,-0.128723,        6.1620464325,0.078369
        6.2126508951,0.045044,        6.2073493004,0.045044
        6.2338958979,0.063171,        6.2231398821,0.049805
        6.2680448294,0.227600,        6.2392663956,0.105652
        6.8346424103,0.402649,        6.6406618357,0.133667
        6.9066294432,1.811646,        6.8401384354,0.376099
        6.9598429203,-0.018494,        6.9333053827,-1.011292
        7.0211498737,-0.046326,        7.0104523897,-0.026550
        7.0717649460,-0.030579,        7.0663968325,-0.030579
        7.1116259098,0.033325,        7.1064099073,0.033325
        7.1384938955,-0.053101,        7.1170274019,0.011536
        7.1890273094,0.025818,        7.1783198118,0.083130
        7.2502573729,0.065735,        7.2449203730,0.108948
        7.2761979103,0.003296,        7.2657144070,0.010620
        7.3110992908,0.112976,        7.3057409525,0.131470
        7.5048189163,-0.030762,        7.4651299715,-0.046143
        7.5496844053,-0.170837,        7.5152499676,-0.050354
        7.6717758179,-0.118835,        7.5550583601,-0.170837
        7.6875444651,-0.133667,        7.6822139025,-0.126343
        7.7141718864,-0.293335,        7.7036284208,-0.157104
        7.8102194071,-0.116638,        7.7192739248,-0.167908
        7.9427328110,-0.129272,        7.8258173466,-0.152527
        8.0198469162,-0.103455,        7.9534778595,-0.122864
        8.0354088545,-0.122864,        8.0249644518,-0.103455
        8.0650008917,-0.040649,        8.0596359968,-0.087524
        8.1362749338,-0.117188,        8.1183114052,-0.095947
        8.2533289194,-0.087341,        8.1812558174,-0.062805
        8.2745903730,-0.045776,        8.2640594244,-0.038818
        8.2903692722,-0.103088,        8.2796958685,-0.061707
        8.3200333118,-0.103271,        8.2957398891,-0.103088
        8.3964444399,-0.272278,        8.3303254843,-0.128540
        8.4180778265,-0.191345,        8.4073363543,-0.183655
        8.4632624388,-0.143921,        8.4525089264,-0.148682
        8.6730533838,0.168274,        8.4686387777,-0.143921
        8.7135233879,0.263672,        8.7026687860,0.269897
        9.3380304575,2.299072,        9.0615082979,0.168823
        9.3988474607,0.227783,        9.3775353432,-0.559570
        9.4731799364,0.101257,        9.4653973579,-0.112610
        9.5107388496,-0.005676,        9.4892759323,0.017212
        9.5339039564,0.012451,        9.5286438465,0.012451
        9.6005569696,0.095215,        9.5951794386,0.095215
        9.8310223818,-0.004761,        9.8258774281,0.018127
        9.9776693583,-0.237671,        9.8390463591,-0.024902
       10.0864958763,-0.171021,       10.0044399500,-0.189148
       10.1715604067,-0.324463,       10.1524938345,-0.139893
       10.2640218735,-0.154175,       10.1769393682,-0.300293
       10.3544659615,-0.191895,       10.2802523375,-0.214417
       10.4207613468,-0.179626,       10.4100248814,-0.151978
       10.4417359829,-0.132751,       10.4314428568,-0.205261
       10.4821078777,-0.119751,       10.4686064720,-0.125610
