Max_accel_y,Min_accel_y,Max_gyro_y,Min_gyro_y,Period
3.154724,-2.042725,95.062256,-95.367432,        2.2115160227
3.108948,-0.583740,61.294556,-88.943481,        2.2569029331
2.607788,-1.011292,85.586548,-51.895142,        2.4050085545
2.304565,-0.793396,77.636719,-68.496704,        2.4219834805
3.066284,-0.869202,71.807861,-54.946899,        2.4245749712
2.785400,-1.255737,80.291748,-71.792603,        2.5205360651
2.830444,-0.867920,96.893311,-84.930420,        2.3180199862
3.136597,-0.882568,84.869385,-71.197510,        2.4329595566
2.981873,-0.872864,99.090576,-85.678101,        2.2942339182
