P_t,P_x,T_t,T_p
       14.5551396608,0.334167,       14.3828850985,-0.004395
       14.6085646152,0.024719,       14.5766000748,-1.044800
       14.8816326857,-0.123047,       14.8206181526,-0.305603
       15.0153801441,-0.126892,       14.8978160620,-0.247925
       15.0522190332,-0.064636,       15.0204845667,-0.126892
       15.3742647171,0.208008,       15.0864436626,-0.021606
       15.9442626238,0.249756,       15.7638095617,-0.242065
       15.9841401577,1.205750,       15.9576886892,-1.740417
       16.0111045837,-0.130554,       16.0002555847,-0.423523
       16.0827846527,0.873962,       16.0617796183,-0.006592
       16.3003755808,-0.170837,       16.2502830029,-0.157288
       16.3456901312,-0.164429,       16.3161295652,-0.117371
       16.3666971922,-0.153625,       16.3510680199,-0.160034
       16.4601166248,-0.006592,       16.4174981117,-0.106934
       16.4788202047,-0.029846,       16.4761376381,-0.029846
       16.5665465593,0.056763,       16.4842081070,-0.029846
       16.6064301729,0.041016,       16.5770236254,0.041565
       16.6596006155,-0.062256,       16.6168881655,0.071777
       16.7824981213,-0.661377,       16.6838426590,-0.120667
       16.8777256012,0.036804,       16.8723140955,-0.216064
       17.0715540648,-0.170471,       17.0664426088,-0.185669
       17.1940256357,0.317505,       17.1860030890,0.232544
       17.2937105894,1.250061,       17.1991620064,0.436157
       17.3632462025,-0.247192,       17.2991030216,1.252991
       17.3991845846,-0.047791,       17.3864110708,-3.656433
       17.4152055979,0.460144,       17.4044156075,1.570496
       17.4417371750,0.078735,       17.4258536100,-0.760803
       17.4765195847,0.069763,       17.4578726292,-0.271729
       17.5987231731,-0.381775,       17.5852705240,-0.323181
       17.9183315039,0.231262,       17.6041011810,-0.381775
       18.0674270391,0.078186,       17.9398756027,0.038269
       18.0808956623,0.062622,       18.0755110979,0.062622
       18.2170996666,-0.341858,       18.1128356457,-0.217712
       18.2722076178,-0.088440,       18.2682886124,-0.074341
       18.5625830889,0.403015,       18.5572201014,0.243347
       18.6076720953,0.040466,       18.5944540501,0.121765
       18.6852560043,0.524048,       18.6128305197,0.091003
       18.8046411276,-0.159851,       18.6906316280,0.694336
       18.8181025982,-1.661682,       18.8127090931,-0.159851
       18.8606791496,1.200806,       18.8342620134,-1.851746
       18.8877506256,0.237488,       18.8714500666,-0.634827
       19.0176324844,-0.263672,       19.0122386217,-0.172852
       19.0894675255,-0.226135,       19.0843555927,-0.186951
       19.3006166220,-0.025635,       19.1557801962,-0.219543
       19.5056486130,0.078369,       19.3701041937,-0.033691
       19.5721396208,-0.085144,       19.5111405849,0.078369
       19.6499000788,0.299744,       19.5775212049,-0.189148
       19.6973820925,0.012085,       19.6919995546,0.012085
       19.8491461277,-0.027283,       19.8437650204,-0.044312
       20.2206541300,-0.247742,       20.0425076485,-0.105652
       20.2648611069,-0.096313,       20.2422860861,-2.786316
       20.2921971083,0.097046,       20.2814041376,-0.550415
       20.3309330940,-0.141357,       20.3204646111,-0.311096
       20.7569605112,-0.054382,       20.5521091223,-0.173401
       20.8362381458,-0.062622,       20.7727741003,-0.059509
