18	3	3
0.851684	-0.785675	0.957464
-1	1	-1
0.999756	-0.370117	0.887999
-1	1	-1
0.986420	-0.441681	0.937110
-1	1	-1
0.987396	-0.452820	0.916180
-1	1	-1
0.999756	-0.436767	0.936627
-1	1	-1
0.999756	-0.422974	0.936206
-1	1	-1
0.999756	-0.349243	0.918438
-1	1	-1
0.999756	-0.245483	0.935224
-1	1	-1
0.999756	-0.371216	0.917763
-1	1	-1
0.994842	-0.339050	0.936383
-1	1	-1
0.999756	-0.365021	0.945886
-1	1	-1
0.988769	-0.438629	0.937550
-1	1	-1
0.982483	-0.439911	0.953307
-1	1	-1
0.999756	-0.372406	0.945697
-1	1	-1
0.999756	-0.522980	0.954567
-1	1	-1
0.989624	-0.406525	0.965307
-1	1	-1
0.994110	-0.373078	0.964306
-1	1	-1
0.991241	-0.280426	1.000000
-1	1	-1
