S_t,S_x
        0.6283258200,-3.142700
        1.3183584213,-1.480469
        1.6918283701,3.406738
        2.3229569197,-1.766724
        2.6992233992,3.999023
        3.2902383804,-1.811279
        3.6335308552,3.945679
        4.2623488903,-1.747070
        4.6195108891,3.949585
        5.2197449207,-1.691895
        5.5834689140,3.999023
        6.1858383417,-1.396973
        6.5689408779,3.999023
        7.2581318617,-0.981934
        7.5539698601,3.999023
        8.1372973919,-1.484863
        8.5203038454,3.999023
        9.0702928305,-1.356201
        9.5042989254,3.999023
       10.0870783329,-1.460083
       10.4699224234,3.979370
       11.0808768272,-1.754517
       11.4551368952,3.999023
       12.0755258799,-1.759644
       12.4503508806,3.955078
       13.0804419518,-1.489624
       13.4367933273,3.929932
       14.0648692846,-2.091919
       14.4398148060,3.999023
       15.0603469610,-1.626099
       15.4348299503,3.999023
       16.0555154085,-1.492310
       16.4391769171,3.958496
       17.0601449013,-1.121704
       17.4548244476,3.976440
       18.0744658709,-1.358154
       18.4694182873,3.964966
       19.0512089729,-1.265137
       19.5215678215,2.248047
