17	3	3
0.382233	-0.290497	1.000000
-1	-1	1
0.971771	-0.327179	0.909383
-1	-1	1
0.999756	-0.462433	0.907526
-1	-1	1
0.999756	-0.405823	0.909785
-1	-1	1
0.998474	-0.466187	0.883832
-1	-1	1
0.999756	-0.423401	0.872721
-1	-1	1
0.999756	-0.453766	0.901329
-1	-1	1
0.999756	-0.446076	0.889715
-1	-1	1
0.999756	-0.528198	0.857548
-1	-1	1
0.999756	-0.273438	0.918484
-1	-1	1
0.982727	-0.340515	0.881876
-1	-1	1
0.804230	-0.391235	0.899797
-1	-1	1
0.983856	-0.399597	0.864893
-1	-1	1
0.994660	-0.398315	0.882950
-1	-1	1
0.998291	-0.462677	0.898980
-1	-1	1
0.997314	-0.392425	0.884626
-1	-1	1
0.966125	-0.318695	0.990854
-1	-1	1
