66	3	3
0.492767	-0.150330	0.527747
1	-1	-1
0.497681	-0.114288	0.522908
1	-1	-1
0.361298	-0.117737	0.495117
1	-1	-1
0.482239	-0.038391	0.504003
1	-1	-1
0.390167	-0.105652	0.473640
1	-1	-1
0.513123	-0.057556	0.486525
1	-1	-1
0.457764	-0.145966	0.481982
1	-1	-1
0.576721	-0.040649	0.493683
1	-1	-1
0.491302	-0.092163	0.501352
1	-1	-1
0.493225	-0.118378	0.489476
1	-1	-1
0.395477	-0.080292	0.487968
1	-1	-1
0.364594	-0.120941	0.493905
1	-1	-1
0.444427	-0.083313	0.468225
1	-1	-1
0.395966	-0.060059	0.478012
1	-1	-1
0.435364	-0.093384	0.507067
1	-1	-1
0.657928	-0.067993	0.252932
1	-1	-1
0.132965	-0.106598	0.262728
1	-1	-1
0.427155	-0.205688	0.489542
1	-1	-1
0.469818	-0.040009	0.521248
1	-1	-1
0.503052	-0.125580	0.509564
1	-1	-1
0.634888	-0.170532	0.501076
1	-1	-1
0.404388	-0.104980	0.490335
1	-1	-1
0.443634	-0.151459	0.485747
1	-1	-1
0.459900	-0.107269	0.499583
1	-1	-1
0.469055	-0.046448	0.487775
1	-1	-1
0.025635	-0.027771	1.000000
-1	1	-1
0.106628	-0.088684	0.325337
-1	1	-1
0.252930	-0.185272	0.550565
-1	1	-1
0.249969	-0.175690	0.521108
-1	1	-1
0.213226	-0.202026	0.515081
-1	1	-1
0.226471	-0.151733	0.507769
-1	1	-1
0.277008	-0.157654	0.502017
-1	1	-1
0.295349	-0.259949	0.493415
-1	1	-1
0.236755	-0.219025	0.499349
-1	1	-1
0.271576	-0.260040	0.487954
-1	1	-1
0.241669	-0.261475	0.497677
-1	1	-1
0.281586	-0.232544	0.506995
-1	1	-1
0.279785	-0.205353	0.506359
-1	1	-1
0.248138	-0.230316	0.492964
-1	1	-1
0.213562	-0.266846	0.499540
-1	1	-1
0.263458	-0.263458	0.496002
-1	1	-1
0.273499	-0.236053	0.475872
-1	1	-1
0.342072	-0.182892	0.490280
-1	1	-1
0.232330	-0.215820	0.475599
-1	1	-1
0.285492	-0.247742	0.466623
-1	1	-1
0.249146	-0.314789	0.462404
-1	1	-1
0.266235	-0.203033	0.462166
-1	1	-1
0.285522	-0.308685	0.474268
-1	1	-1
0.321991	-0.290558	0.472469
-1	1	-1
0.235931	-0.256714	0.475807
-1	1	-1
0.242126	-0.281097	0.470451
-1	1	-1
0.193451	-0.305237	0.466261
-1	1	-1
0.265289	-0.254425	0.458414
-1	1	-1
0.230560	-0.249115	0.449980
-1	1	-1
0.264862	-0.217072	0.459145
-1	1	-1
0.233948	-0.224091	0.483798
-1	1	-1
0.202576	-0.221649	0.536296
-1	1	-1
0.653015	-0.521545	0.693216
-1	-1	1
0.174347	-0.174622	0.872070
-1	-1	1
0.177429	-0.174957	0.786824
-1	-1	1
0.190887	-0.202484	0.747362
-1	-1	1
0.155060	-0.169220	0.810635
-1	-1	1
0.154419	-0.133942	0.801711
-1	-1	1
0.174988	-0.116913	0.824094
-1	-1	1
0.178436	-0.162567	0.742493
-1	-1	1
0.152557	-0.168396	0.764443
-1	-1	1
