Stride_Max,Stride_Min,Period
3.406738,-3.142700,        1.0073950291
3.999023,-1.480469,        0.9343074560
3.945679,-1.766724,        0.9859800339
3.949585,-1.811279,        0.9639580250
3.999023,-1.747070,        0.9854719639
3.999023,-1.691895,        0.9850289822
3.999023,-1.396973,        0.9663339853
3.999023,-0.981934,        0.9839950800
3.999023,-1.484863,        0.9656234980
3.979370,-1.356201,        0.9852144718
3.999023,-1.460083,        0.9952139854
3.955078,-1.754517,        0.9864424467
3.929932,-1.759644,        1.0030214787
3.999023,-1.489624,        0.9950151443
3.999023,-2.091919,        1.0043469667
3.958496,-1.626099,        1.0156475306
3.976440,-1.492310,        1.0145938396
3.964966,-1.121704,        1.0521495342
