timestamp_before, timestamp_after, accel_x, accel_y, accel_z, gyro_x, gyro_y, gyro_z,,,
1488410743,1488410743,0.945801,0.039307,-0.248779,-1.861572,5.172729,-17.63916,,,0.002249956
1488410743,1488410743,0.945801,0.039307,-0.248779,-1.861572,5.172729,-17.63916,,,0.004849911
1488410743,1488410743,0.945801,0.039307,-0.248779,255.737305,-460.510254,-382.125854,,,0.011250019
1488410743,1488410743,0.842651,0.040283,-0.224243,-262.832642,476.699829,-382.125854,,,0.015239954
1488410743,1488410743,0.842651,0.040283,-0.224243,-2.532959,5.447388,-18.585205,,,0.018529892
1488410743,1488410743,0.861938,0.042114,-0.21521,-2.532959,5.447388,-18.585205,,,0.021080017
1488410743,1488410743,0.861938,0.042114,-0.21521,-2.380371,5.218506,-19.042969,,,0.02376008
1488410743,1488410743,0.861938,0.042114,-0.21521,-2.380371,5.218506,-19.042969,,,0.026309967
1488410743,1488410743,0.861938,0.042114,-0.21521,-2.426147,5.187988,-19.714355,,,0.028860092
1488410743,1488410743,0.860352,0.03894,-0.206421,-2.426147,5.187988,-19.714355,,,0.031409979
1488410743,1488410743,0.860352,0.03894,-0.206421,-2.044678,5.065918,-20.248413,,,0.034029961
1488410743,1488410743,0.860352,0.03894,-0.206421,-2.044678,5.065918,-20.248413,,,0.036590099
1488410743,1488410743,0.860352,0.03894,-0.206421,-0.991821,5.554199,-21.118164,,,0.039129972
1488410743,1488410743,0.860352,0.033569,-0.207397,-0.991821,5.554199,-21.118164,,,0.041680098
1488410743,1488410743,0.860352,0.033569,-0.207397,2.914429,6.04248,-22.171021,,,0.044229984
1488410743,1488410743,0.860352,0.033569,-0.207397,0.091553,6.04248,-22.171021,,,0.046779871
1488410743,1488410743,0.860352,0.033569,-0.217407,0.091553,6.04248,-23.376465,,,0.049329996
1488410743,1488410743,0.864014,0.041992,-0.217407,0.793457,6.408691,-23.376465,,,0.052289963
1488410743,1488410743,0.864014,0.041992,-0.217407,1.51062,6.637573,-24.353027,,,0.055710077
1488410743,1488410743,0.864014,0.041992,-0.217407,1.51062,6.637573,-24.353027,,,0.058389902
1488410743,1488410743,0.860596,0.036377,-0.219727,2.044678,6.851196,-25.894165,,,0.061059952
1488410743,1488410743,0.860596,0.036377,-0.219727,2.044678,6.851196,-25.894165,,,0.063780069
1488410743,1488410743,0.860596,0.036377,-0.219727,2.532959,7.30896,-27.420044,,,0.066449881
1488410743,1488410743,0.860596,0.036377,-0.227661,2.532959,7.30896,-27.420044,,,0.06911993
1488410743,1488410743,0.868896,0.033081,-0.227661,3.097534,7.797241,-28.533936,,,0.071810007
1488410743,1488410743,0.868896,0.033081,-0.227661,3.097534,7.797241,-28.533936,,,0.074480057
1488410743,1488410743,0.868896,0.033081,-0.227661,2.456665,8.407593,-29.983521,,,0.077149868
1488410743,1488410743,0.873535,0.030029,-0.240234,2.456665,8.407593,-29.983521,,,0.079829931
1488410743,1488410743,0.873535,0.030029,-0.240234,1.724243,9.033203,-31.25,,,0.082509995
1488410743,1488410743,0.873535,0.030029,-0.240234,1.724243,9.033203,-31.25,,,0.085180044
1488410743,1488410743,0.873535,0.030029,-0.240234,1.068115,9.475708,-32.76062,,,0.087939978
